|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
| Index | Operation                         | Argument | Opcode | Description                                                                                                                                       |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     0 | No Op                             | Implied  |     00 | No Operation                                                                                                                                      |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     1 | Push to stack                     | Constant |     01 | Push Constant value to stack                                                                                                                      |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     2 | Push to stack                     | Register |     02 | Push register value to stack                                                                                                                      |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     3 | Push to stack                     | IOBuffer |     03 | Push conent in IOBuffer to stack                                                                                                                  |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     4 | Pop from stack                    | Register |     04 | Pops value from stack and stores it in register                                                                                                   |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     5 | Pop from stack                    | IOBuffer |     05 | Pops value from stack and stores it into IOBuffer                                                                                                 |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     6 | Duplicate top of stack            | Implied  |     06 | Duplicates Top value on stack                                                                                                                     |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     7 | Drop top of stack                 | Implied  |     07 | Discards top value on stack                                                                                                                       |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     8 | Compare                           | Implied  |     08 | Peaks at top two values on stack. compares the two and sets flags. if T > T-1 then Z, C = 0 if T < T-1 then Z = 0, C = 1 if T = T-1 Z = 1, C = 0  |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|     9 | Peak top of stack                 | Register |     09 | stores top of stack in register without modifying stack pointer                                                                                   |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|    10 | Peak top of stack                 | IOBuffer |     0A | stores top of stack in IOBuffer without modifying stack pointer                                                                                   |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
|    11 | Add top two of stack, push result | Implied  |     0B | pops top two of stack, adds them, pushes the result. (T + T-1)                                                                                    |
|-------|-----------------------------------|----------|--------|---------------------------------------------------------------------------------------------------------------------------------------------------|
